project_name,group,country,year,number_of_eggs_collected,number_of_eggs_hatched,number_of_chick_blistered_2023,number_of_chicks_released,average_chick_release_age,youngest_chick_release_age,oldest_chick_release_age,date_of_first_release,date_of_last_release,hatch_success,egg_to_release,hatch_to_release,number_known_to_be_alive_after_one_year,number_known_to_have _attempted_breeding,release_survival_rate,release_breeding_rate,number_of_eggs_returned
Belgium,5,belgium,2020,16,11,,7,48,41,75,13/06/2020,14/08/2020,0.6875,0.4375,0.636363636,3,2,0.428571429,0.285714286,
Belgium,5,belgium,2021,8,1,,0,,,,-,-,0.125,0,0,-,,,,
Belgium,5,belgium,2022,5,2,,2,54,54,54,11/07/2022,11/07/2022,0.4,0.4,1,0,,0,0,
Belgium,5,belgium,2023,11,4,,3,52,52,52,17/07/2023,17/07/2023,0.363636364,0.272727273,0.75,,,0,0,
Ireland,2,ireland,2021,3,1,,1,,NA,NA,,,0.333333333,0.333333333,1,0,0,0,0,
Ireland,2,ireland,2022,10,10,,7,,,,,,1,0.7,0.7,0,0,0,0,
Ireland,2,ireland,2023,49,41,,38,51,38,64,09/07/2023,06/08/2023,0.836734694,0.775510204,0.926829268,,,0,0,
Poland,10,poland,2014,50,33,0,28,,,,14/06/2014,05/08/2014,0.44,0.373333333,0.848484849,0,0,0,0,25
Poland,10,poland,2015,68,48,0,41,,,,20/06/2015,10/08/2015,0.390243902,0.333333333,0.854166667,3,2,0.073170732,0.048780488,55
Poland,10,poland,2016,0,29,0,29,,,,,,,,,,,,,
Poland,10,poland,2017,245,196,0,131,,,,19/06/2017,16/08/2017,0.678200692,0.453287197,0.668367347,11,5,0.083969466,0.038167939,44
Poland,10,poland,2018,168,131,0,64,,,,05/07/2018,06/08/2018,0.642156863,0.31372549,0.488549618,9,4,0.140625,0.0625,36
Poland,10,poland,2019,130,104,0,83,,,,06/07/2019,09/08/2019,0.590909091,0.471590909,0.798076923,18,8,0.21686747,0.096385542,46
Poland,10,poland,2020,167,124,0,95,,,,25/06/2020,18/08/2020,0.666666667,0.510752688,0.766129032,12,7,0.12631579,0.073684211,19
Poland,10,poland,2021,103,56,0,31,,,,10/07/2021,09/08/2021,0.4,0.221428571,0.553571429,5,1,0.161290323,0.032258065,37
Poland,10,poland,2022,68,45,0,28,,,,05/07/2022,27/07/2022,0.489130435,0.304347826,0.622222222,0,0,0,0,24
Poland,10,poland,2023,61,41,0,21,,,,09/07/2023,28/07/2023,0.672131148,0.344262295,0.512195122,0,0,0,0,0
Poland (RDOS),9,poland,2017,17,13,,12,,,,22/06/2017,26/07/2023,0.764705882,0.705882353,0.923076923,,,,0,
Poland (RDOS),9,poland,2018,14,13,,13,,,,,,0.928571429,0.928571429,1,,,,0,
Poland (RDOS),9,poland,2019,13,2,,2,,,,,,0.153846154,0.153846154,1,,,,0,
Poland (RDOS),9,poland,2020,26,18,,9,,,,,,0.692307692,0.346153846,0.5,,,,0,
Poland (RDOS),9,poland,2021,51,42,,37,,,,,,0.823529412,0.725490196,0.880952381,,,,0,
Poland (RDOS),9,poland,2022,57,45,,41,,,,,,0.789473684,0.719298246,0.911111111,,,,0,
Poland (RDOS),9,poland,2023,46,36,,30,,,,,,0.782608696,0.652173913,0.833333333,,,,0,
UK (Dartmoor) ,3,uk,2021,37,35,0,33,57,47,69,15th July,2nd August,0.945945946,0.891891892,0.942857143,1,0,0.03030303,0,
UK (Dartmoor) ,3,uk,2022,38,32,2,28,55,54,63,21st July,10th August,0.842105263,0.736842105,0.875,1,0,0.035714286,0,
UK (Dartmoor) ,3,uk,2023,38,34,25,25,73,46,191,18th July,11th Dec,0.894736842,3.125,0.735294118,0,0,0,0,
"UK (Norfolk Estate, Cranborne Estate, Elmley NNR)",1,uk,2022,40,37,-,31,59,54,63,13/07/2022,27/07/2022,0.925,0.775,0.837837838,8,0,0.258064516,0,
"UK (Norfolk Estate, Cranborne Estate, Elmley NNR)",1,uk,2023,120,112,16,70,64,52,85,11/07/2023,01/08/2023,0.933333333,0.583333333,0.625,,,,0,
UK (Norfolk),6,uk,2021,106,87,0,79,54.3,45,62,06/07/2021,15/08/2021,0.820754717,0.745283019,0.908045977,7,0,0.088607595,0,
UK (Norfolk),6,uk,2022,58,48,2,37,59.7,52,76,,22/08/2022,0.827586207,0.637931035,0.770833333,8,0,0.216216216,0,
UK (Norfolk),6,uk,2023,84,68,27,43,80.8,51,186,27/07/2023,22/11/2023,0.80952381,0.511904762,0.632352941,,,,0,
UK (Shropshire),8,uk,2017,7,6,0,6,69,,,,,0.857142857,0.857142857,1,,1,0,0.166666667,
UK (Shropshire),8,uk,2018,54,30,0,21,71,,,,,0.555555556,0.388888889,0.7,,,0,0,
UK (Shropshire),8,uk,2019,45,40,0,33,63,,,28/07/2019,28/07/2019,0.888888889,0.733333333,0.825,,,0,0,
UK (Shropshire),8,uk,2021,52,43,0,34,,,,17/07/2021,08/01/2021,0.826923077,0.653846154,0.790697674,0,0,0,0,
UK (Shropshire),8,uk,2022,49,38,2,35,,,,20/07/2023,01/08/2023,0.775510204,0.714285714,0.921052632,0,0,0,0,
UK (Shropshire),8,uk,2023,37,22,15,20,,,,09/08/2023,29/09/2023,0.594594595,0.540540541,0.909090909,0,0,0,0,
UK (Slimbridge),7,uk,2019,58,55,,50,,,,,,,,,,,,,
